baker,episode,rank_in_technical,mean_rank_in_technical,star,mean_star,top,mean_top,flop,mean_flop,final_rank,final_group,
Sian,1,9,9,0,0,0,0,0,0,1,1,winner
Sian,2,4,6.5,1,0.5,0,0,0,0,1,1,winner
Sian,3,1,4.666666667,0,0.333333333,1,0.333333333,0,0,1,1,winner
Sian,4,8,5.5,0,0.25,0,0.25,0,0,1,1,winner
Sian,5,3,5,1,0.4,0,0.2,0,0,1,1,winner
Sian,6,2,4.5,0,0.333333333,0,0.166666667,0,0,1,1,winner
Sian,7,3,4.285714286,0,0.285714286,0,0.142857143,0,0,1,1,winner
Sian,8,2,4,0,0.25,1,0.25,0,0,1,1,winner
Sian,9,3,3.888888889,1,0.333333333,0,0.222222222,0,0,1,1,winner
Sian,10,1,3.6,0,0.3,0,0.2,0,0,1,1,winner
Jasmin,1,3,3,0,0,1,1,0,0,2,2,runner_up
Jasmin,2,6,4.5,0,0,1,1,0,0,2,2,runner_up
Jasmin,3,3,4,1,0.333333333,0,0.666666667,0,0,2,2,runner_up
Jasmin,4,1,3.25,0,0.25,0,0.5,0,0,2,2,runner_up
Jasmin,5,2,3,0,0.2,0,0.4,0,0,2,2,runner_up
Jasmin,6,4,3.166666667,0,0.166666667,1,0.5,0,0,2,2,runner_up
Jasmin,7,1,2.857142857,1,0.285714286,0,0.428571429,0,0,2,2,runner_up
Jasmin,8,4,3,0,0.25,0,0.375,0,0,2,2,runner_up
Jasmin,9,4,3.111111111,0,0.222222222,0,0.333333333,0,0,2,2,runner_up
Jasmin,10,2,3,0,0.2,0,0.3,0,0,2,2,runner_up
Suzy,1,7,7,0,0,1,1,0,0,2,2,runner_up
Suzy,2,2,4.5,0,0,1,1,0,0,2,2,runner_up
Suzy,3,5,4.666666667,0,0,1,1,0,0,2,2,runner_up
Suzy,4,4,4.5,0,0,0,0.75,0,0,2,2,runner_up
Suzy,5,5,4.6,0,0,0,0.6,0,0,2,2,runner_up
Suzy,6,7,5,0,0,0,0.5,0,0,2,2,runner_up
Suzy,7,4,4.857142857,0,0,1,0.571428571,0,0,2,2,runner_up
Suzy,8,3,4.625,1,0.125,0,0.5,0,0,2,2,runner_up
Suzy,9,2,4.333333333,0,0.111111111,0,0.444444444,0,0,2,2,runner_up
Suzy,10,3,4.2,0,0.1,0,0.4,0,0,2,2,runner_up
Angela,1,1,1,1,1,0,0,0,0,4,3,top_tier
Angela,2,1,1,0,0.5,0,0,0,0,4,3,top_tier
Angela,3,10,4,0,0.333333333,0,0,1,0.333333333,4,3,top_tier
Angela,4,5,4.25,1,0.5,0,0,0,0.25,4,3,top_tier
Angela,5,7,4.8,0,0.4,0,0,1,0.4,4,3,top_tier
Angela,6,5,4.833333333,0,0.333333333,0,0,0,0.333333333,4,3,top_tier
Angela,7,2,4.428571429,0,0.285714286,0,0,0,0.285714286,4,3,top_tier
Angela,8,1,4,0,0.25,0,0,1,0.375,4,3,top_tier
Angela,9,1,3.666666667,0,0.222222222,0,0,0,0.333333333,4,3,top_tier
James,1,5,5,0,0,0,0,0,0,5,3,top_tier
James,2,5,5,0,0,0,0,0,0,5,3,top_tier
James,3,6,5.333333333,0,0,0,0,0,0,5,3,top_tier
James,4,6,5.5,0,0,1,0.25,0,0,5,3,top_tier
James,5,8,6,0,0,1,0.4,0,0,5,3,top_tier
James,6,6,6,1,0.166666667,0,0.333333333,0,0,5,3,top_tier
James,7,6,6,0,0.142857143,0,0.285714286,1,0.142857143,5,3,top_tier
James,8,5,5.875,0,0.125,0,0.25,0,0.125,5,3,top_tier
Nathan,1,11,11,0,0,0,0,0,0,6,3,top_tier
Nathan,2,7,9,0,0,0,0,0,0,6,3,top_tier
Nathan,3,4,7.333333333,0,0,0,0,0,0,6,3,top_tier
Nathan,4,5,6.75,0,0,0,0,0,0,6,3,top_tier
Nathan,5,4,6.2,0,0,0,0,0,0,6,3,top_tier
Nathan,6,1,5.333333333,0,0,0,0,1,0.166666667,6,3,top_tier
Nathan,7,5,5.285714286,0,0,0,0,0,0.142857143,6,3,top_tier
Ben,1,2,2,0,0,0,0,0,0,7,4,bottom_tier
Ben,2,8,5,0,0,0,0,0,0,7,4,bottom_tier
Ben,3,2,4,0,0,0,0,0,0,7,4,bottom_tier
Ben,4,2,3.5,0,0,0,0,1,0.25,7,4,bottom_tier
Ben,5,6,4,0,0,1,0.2,0,0.2,7,4,bottom_tier
Ben,6,3,3.833333333,0,0,0,0.166666667,0,0.166666667,7,4,bottom_tier
Brendan,1,8,8,0,0,0,0,1,1,8,4,bottom_tier
Brendan,2,11,9.5,0,0,0,0,1,1,8,4,bottom_tier
Brendan,3,7,8.666666667,0,0,0,0,0,0.666666667,8,4,bottom_tier
Brendan,4,7,8.25,0,0,0,0,0,0.5,8,4,bottom_tier
Brendan,5,1,6.8,0,0,0,0,0,0.4,8,4,bottom_tier
Janice,1,4,4,0,0,1,1,0,0,9,4,bottom_tier
Janice,2,3,3.5,0,0,0,0.5,0,0,9,4,bottom_tier
Janice,3,8,5,0,0,0,0.333333333,0,0,9,4,bottom_tier
Janice,4,9,6,0,0,0,0.25,0,0,9,4,bottom_tier
Meg,1,6,6,0,0,0,0,1,1,10,4,bottom_tier
Meg,2,9,7.5,0,0,0,0,0,0.5,10,4,bottom_tier
Meg,3,9,8,0,0,0,0,0,0.333333333,10,4,bottom_tier
Mariana,1,12,12,0,0,0,0,0,0,11,4,bottom_tier
Mariana,2,10,11,0,0,0,0,0,0,11,4,bottom_tier
Peter,1,10,10,0,0,0,0,0,0,12,4,bottom_tier
